Region,Market,Store,Labor Status,,,,,,,,,,,,
47,411,1802,Complete,,,,,,,,,,,,
2,19,3201,Change Return trip required to revisit trip required,,,,,,,,,,,,
13,141,887,Change Return trip required to revisit trip required,,,,,,,,,,,,
47,381,1315,Complete,,,,,,,,,,,,
19,203,1423,Complete,,,,,,,,,,,,
2,19,3402,Complete,,,,,,,,,,,,
47,381,4653,Complete,,,,,,,,,,,,
47,381,1456,Complete,,,,,,,,,,,,
19,204,1422,Complete,,,,,,,,,,,,
47,381,1617,Complete,,,,,,,,,,,,
19,200,1791,Complete,,,,,,,,,,,,
2,21,5482,Complete,,,,,,,,,,,,
2,21,1400,Complete,,,,,,,,,,,,
19,204,1432,Complete,,,,,,,,,,,,
19,205,1611,Complete,,,,,,,,,,,,
47,381,3778,Complete,,,,,,,,,,,,
47,382,1485,Complete,,,,,,,,,,,,
11,140,708,Complete,,,,,,,,,,,,
2,21,1111,Complete,,,,,,,,,,,,
19,204,1752,Complete,,,,,,,,,,,,
47,381,1778,Complete,,,,,,,,,,,,
19,197,1790,Complete,,,,,,,,,,,,
76,280,2357,Complete,,,,,,,,,,,,
75,282,3481,Change Return trip required to revisit trip required,,,,,,,,,,,,
75,293,3804,Change Return trip required to revisit trip required,,,,,,,,,,,,
42,127,3868,Cancelled,,,,,,,,,,,,
75,281,3489,Change Return trip required to revisit trip required,,,,,,,,,,,,
47,381,1457,Complete,,,,,,,,,,,,
53,441,1138,Complete,,,,,,,,,,,,
52,426,1152,Complete,,,,,,,,,,,,
76,280,1703,Change Return trip required to revisit trip required,,,,,,,,,,,,
76,320,1522,Complete,,,,,,,,,,,,
76,320,2083,Complete,,,,,,,,,,,,
56,468,2320,Cancelled,,,,,,,,,,,,
53,439,2958,Complete,,,,,,,,,,,,
52,418,1721,Complete,,,,,,,,,,,,
20,216,1782,Change Return trip required to revisit trip required,,,,,,,,,,,,
53,439,1828,Cancelled,,,,,,,,,,,,
53,439,1982,Change Return trip required to revisit trip required,,,,,,,,,,,,
52,422,2643,Complete,,,,,,,,,,,,
52,424,3088,Change Return trip required to revisit trip required,,,,,,,,,,,,
53,442,5669,Complete,,,,,,,,,,,,
52,415,1528,Complete,,,,,,,,,,,,
52,413,1723,Complete,,,,,,,,,,,,
22,284,1860,Complete,,,,,,,,,,,,
52,423,2642,Complete,,,,,,,,,,,,
75,508,2799,Change Return trip required to revisit trip required,,,,,,,,,,,,
52,422,3364,Complete,,,,,,,,,,,,
53,441,3857,Complete,,,,,,,,,,,,
53,438,5397,Complete,,,,,,,,,,,,
52,421,1415,Complete,,,,,,,,,,,,
52,415,1496,Change Return trip required to revisit trip required,,,,,,,,,,,,
53,425,1657,Complete,,,,,,,,,,,,
75,282,1875,Change Return trip required to revisit trip required,,,,,,,,,,,,
53,441,2335,Complete,,,,,,,,,,,,
52,421,1722,Complete,,,,,,,,,,,,
75,293,2412,Complete,,,,,,,,,,,,
20,216,2823,Complete,,,,,,,,,,,,
53,425,4257,Complete,,,,,,,,,,,,
20,316,1450,Change Return trip required to revisit trip required,,,,,,,,,,,,
52,423,1855,Complete,,,,,,,,,,,,
53,439,2986,Complete,,,,,,,,,,,,
76,320,3215,Complete,,,,,,,,,,,,
53,442,1515,Complete,,,,,,,,,,,,
52,422,1864,Complete,,,,,,,,,,,,
75,508,1981,Complete,,,,,,,,,,,,
76,283,1985,Complete,,,,,,,,,,,,
53,444,2452,Complete,,,,,,,,,,,,
53,435,2828,Complete,,,,,,,,,,,,
46,384,1414,Change Return trip required to revisit trip required,,,,,,,,,,,,
17,173,2284,Change Return trip required to revisit trip required,,,,,,,,,,,,
46,387,611,Complete,,,,,,,,,,,,
46,375,1380,Complete,,,,,,,,,,,,
46,384,1397,Complete,,,,,,,,,,,,
17,163,2900,Change Return trip required to revisit trip required,,,,,,,,,,,,
46,387,851,Complete,,,,,,,,,,,,
16,188,2152,Complete,,,,,,,,,,,,
17,163,2299,Complete,,,,,,,,,,,,
46,384,2924,Complete,,,,,,,,,,,,
46,385,824,Complete,,,,,,,,,,,,
76,191,1831,Complete,,,,,,,,,,,,
17,162,2331,Complete,,,,,,,,,,,,
17,190,5732,Complete,,,,,,,,,,,,
17,173,2585,Change Return trip required to revisit trip required,,,,,,,,,,,,
46,385,3423,Complete,,,,,,,,,,,,
17,577,3159,Complete,,,,,,,,,,,,
17,173,5439,Complete,,,,,,,,,,,,
22,165,5476,Complete,,,,,,,,,,,,
46,375,873,Complete,,,,,,,,,,,,
17,164,1959,Complete,,,,,,,,,,,,
22,178,1977,Complete,,,,,,,,,,,,
17,176,5447,Change Return trip required to revisit trip required,,,,,,,,,,,,
22,165,3212,Complete,,,,,,,,,,,,
17,163,5095,Complete,,,,,,,,,,,,
17,172,5293,Complete,,,,,,,,,,,,
17,172,5295,Complete,,,,,,,,,,,,
17,163,2371,Complete,,,,,,,,,,,,
17,164,2547,Change Return trip required to revisit trip required,,,,,,,,,,,,
17,176,3598,Complete,,,,,,,,,,,,
22,165,3339,Complete,,,,,,,,,,,,
17,175,3469,Complete,,,,,,,,,,,,
17,173,5294,Complete,,,,,,,,,,,,
76,194,2164,Complete,,,,,,,,,,,,
17,577,3520,Complete,,,,,,,,,,,,
17,577,3795,Complete,,,,,,,,,,,,
47,433,1326,Change Return trip required to revisit trip required,,,,,,,,,,,,
16,188,1997,Complete,,,,,,,,,,,,
47,433,3395,Complete,,,,,,,,,,,,
16,188,1940,Complete,,,,,,,,,,,,
47,433,1943,Complete,,,,,,,,,,,,
47,433,3278,Complete,,,,,,,,,,,,
47,432,4358,Complete,,,,,,,,,,,,
46,375,2656,Complete,,,,,,,,,,,,
47,432,3267,Complete,,,,,,,,,,,,
47,432,5361,Complete,,,,,,,,,,,,
56,399,3739,Complete,,,,,,,,,,,,
17,161,1964,Complete,,,,,,,,,,,,
47,430,2443,Complete,,,,,,,,,,,,
56,399,2781,Complete,,,,,,,,,,,,
17,161,2885,Complete,,,,,,,,,,,,
47,429,3872,Complete,,,,,,,,,,,,
17,161,2283,Complete,,,,,,,,,,,,
56,399,2861,Complete,,,,,,,,,,,,
47,430,3237,Complete,,,,,,,,,,,,
46,370,4232,Complete,,,,,,,,,,,,
76,283,5753,Complete,,,,,,,,,,,,
47,430,1535,Complete,,,,,,,,,,,,
47,427,1581,Complete,,,,,,,,,,,,
47,383,2147,Complete,,,,,,,,,,,,
17,161,2747,Complete,,,,,,,,,,,,
56,399,2862,Complete,,,,,,,,,,,,
21,239,3765,Complete,,,,,,,,,,,,
75,287,7032,Complete,,,,,,,,,,,,
17,161,2373,Complete,,,,,,,,,,,,
16,180,2634,Complete,,,,,,,,,,,,
56,400,2831,Complete,,,,,,,,,,,,
56,399,3093,Complete,,,,,,,,,,,,
47,383,3259,Complete,,,,,,,,,,,,
47,427,3648,Complete,,,,,,,,,,,,
47,427,4352,Complete,,,,,,,,,,,,
47,430,4865,Complete,,,,,,,,,,,,
17,161,1873,Complete,,,,,,,,,,,,
56,400,1905,Complete,,,,,,,,,,,,
20,214,2073,Complete,,,,,,,,,,,,
47,383,2259,Complete,,,,,,,,,,,,
16,181,2369,Complete,,,,,,,,,,,,
60,474,3472,Complete,,,,,,,,,,,,
47,430,3734,Complete,,,,,,,,,,,,
47,427,3875,Complete,,,,,,,,,,,,
40,341,1761,Complete,,,,,,,,,,,,
56,399,5841,Complete,,,,,,,,,,,,
47,430,1538,Complete,,,,,,,,,,,,
16,179,1924,Complete,,,,,,,,,,,,
20,214,2316,Complete,,,,,,,,,,,,
17,161,3301,Complete,,,,,,,,,,,,
25,275,3602,Complete,,,,,,,,,,,,
47,382,4412,Complete,,,,,,,,,,,,
21,246,1329,Complete,,,,,,,,,,,,
16,179,1932,Complete,,,,,,,,,,,,
47,382,1956,Complete,,,,,,,,,,,,
17,161,2225,Complete,,,,,,,,,,,,
20,209,2362,Complete,,,,,,,,,,,,
47,382,2923,Complete,,,,,,,,,,,,
47,430,3853,Complete,,,,,,,,,,,,
47,430,1520,Complete,,,,,,,,,,,,
41,482,1557,Complete,,,,,,,,,,,,
75,291,1852,Complete,,,,,,,,,,,,
16,179,1856,Complete,,,,,,,,,,,,
16,184,2142,Complete,,,,,,,,,,,,
47,382,2608,Complete,,,,,,,,,,,,
5,53,5092,Complete,,,,,,,,,,,,
47,427,1695,Complete,,,,,,,,,,,,
16,183,1698,Complete,,,,,,,,,,,,
47,383,1901,Complete,,,,,,,,,,,,
16,184,1930,Complete,,,,,,,,,,,,
16,180,1939,Complete,,,,,,,,,,,,
16,184,2399,Complete,,,,,,,,,,,,
60,478,2538,Complete,,,,,,,,,,,,
60,477,5368,Complete,,,,,,,,,,,,
60,478,5396,Complete,,,,,,,,,,,,
60,477,5440,Complete,,,,,,,,,,,,
52,412,1545,Complete,,,,,,,,,,,,
60,477,1784,Complete,,,,,,,,,,,,
60,475,1817,Complete,,,,,,,,,,,,
47,383,1872,Complete,,,,,,,,,,,,
16,184,1907,Complete,,,,,,,,,,,,
16,183,2055,Complete,,,,,,,,,,,,
16,180,2202,Complete,,,,,,,,,,,,
60,478,3239,Complete,,,,,,,,,,,,
60,474,4395,Complete,,,,,,,,,,,,
47,427,1649,Complete,,,,,,,,,,,,
47,383,2084,Complete,,,,,,,,,,,,
60,477,5935,Complete,,,,,,,,,,,,
47,430,1483,Complete,,,,,,,,,,,,
47,429,1543,Complete,,,,,,,,,,,,
47,427,1636,Complete,,,,,,,,,,,,
16,183,1788,Complete,,,,,,,,,,,,
56,468,2069,Complete,,,,,,,,,,,,
16,179,5076,Complete,,,,,,,,,,,,
47,383,7199,Complete,,,,,,,,,,,,
47,382,1565,Complete,,,,,,,,,,,,
56,468,1834,Complete,,,,,,,,,,,,
16,180,2046,Complete,,,,,,,,,,,,
16,183,2153,Complete,,,,,,,,,,,,
47,383,2455,Complete,,,,,,,,,,,,
47,430,2990,Complete,,,,,,,,,,,,
47,382,1567,Complete,,,,,,,,,,,,
47,430,1685,Complete,,,,,,,,,,,,
16,180,1868,Change Return trip required to revisit trip required,,,,,,,,,,,,
16,183,2330,Complete,,,,,,,,,,,,
47,383,4247,Complete,,,,,,,,,,,,
4,294,1317,Complete,,,,,,,,,,,,
47,427,1534,Complete,,,,,,,,,,,,
47,429,1604,Complete,,,,,,,,,,,,
16,183,1749,Complete,,,,,,,,,,,,
47,427,2033,Complete,,,,,,,,,,,,
47,430,1500,Complete,,,,,,,,,,,,
42,321,55,Complete,,,,,,,,,,,,
13,46,165,Complete,,,,,,,,,,,,
9,116,666,Complete,,,,,,,,,,,,
14,7,740,Complete,,,,,,,,,,,,
54,388,1058,Complete,,,,,,,,,,,,
26,298,1498,Complete,,,,,,,,,,,,
53,442,1515,Complete,,,,,,,,,,,,
76,283,2258,Complete,,,,,,,,,,,,
4,29,2832,Complete,,,,,,,,,,,,
21,218,3282,Complete,,,,,,,,,,,,
46,370,5835,Complete,,,,,,,,,,,,
13,46,345,Complete,,,,,,,,,,,,
42,321,388,Complete,,,,,,,,,,,,
14,7,1091,Complete,,,,,,,,,,,,
26,296,1191,Complete,,,,,,,,,,,,
21,218,1519,Complete,,,,,,,,,,,,
76,286,1825,Complete,,,,,,,,,,,,
52,422,1864,Complete,,,,,,,,,,,,
46,369,2512,Complete,,,,,,,,,,,,
14,7,2534,Complete,,,,,,,,,,,,
53,442,5669,Complete,,,,,,,,,,,,
9,118,6190,Complete,,,,,,,,,,,,
4,33,7181,Complete,,,,,,,,,,,,
5,45,265,Complete,,,,,,,,,,,,
42,322,359,Complete,,,,,,,,,,,,
14,7,604,Complete,,,,,,,,,,,,
4,41,616,Complete,,,,,,,,,,,,
3,95,959,Complete,,,,,,,,,,,,
14,7,1462,Complete,,,,,,,,,,,,
26,296,2137,Complete,,,,,,,,,,,,
54,403,2307,Complete,,,,,,,,,,,,
3,95,2843,Complete,,,,,,,,,,,,
52,424,3088,Complete,,,,,,,,,,,,
53,442,3499,Complete,,,,,,,,,,,,
21,218,3515,Complete,,,,,,,,,,,,
54,403,5763,Complete,,,,,,,,,,,,
76,283,5936,Complete,,,,,,,,,,,,
46,370,6477,Complete,,,,,,,,,,,,
13,141,887,Complete,,,,,,,,,,,,
14,7,1063,Complete,,,,,,,,,,,,
41,482,1275,Complete,,,,,,,,,,,,
53,441,2335,Complete,,,,,,,,,,,,
4,36,2928,Complete,,,,,,,,,,,,
5,44,3284,Complete,,,,,,,,,,,,
3,95,4262,Complete,,,,,,,,,,,,
26,297,5118,Complete,,,,,,,,,,,,
46,369,5330,Complete,,,,,,,,,,,,
54,401,1888,Complete,,,,,,,,,,,,
5,48,590,Complete,,,,,,,,,,,,
13,141,874,Complete,,,,,,,,,,,,
14,14,990,Complete,,,,,,,,,,,,
46,368,2554,Complete,,,,,,,,,,,,
4,37,2712,Complete,,,,,,,,,,,,
53,439,2958,Complete,,,,,,,,,,,,
41,249,3435,Complete,,,,,,,,,,,,
54,401,4272,Complete,,,,,,,,,,,,
26,297,5292,Complete,,,,,,,,,,,,
42,328,157,Complete,,,,,,,,,,,,
12,5,314,Complete,,,,,,,,,,,,
41,242,497,Complete,,,,,,,,,,,,
11,140,875,Complete,,,,,,,,,,,,
14,8,1101,Complete,,,,,,,,,,,,
47,381,1315,Complete,,,,,,,,,,,,
5,44,1455,Complete,,,,,,,,,,,,
47,381,1456,Complete,,,,,,,,,,,,
47,382,1508,Complete,,,,,,,,,,,,
53,425,1657,Complete,,,,,,,,,,,,
4,37,1767,Complete,,,,,,,,,,,,
53,439,1982,Complete,,,,,,,,,,,,
60,473,2007,Complete,,,,,,,,,,,,
76,320,2083,Complete,,,,,,,,,,,,
60,472,2121,Complete,,,,,,,,,,,,
47,411,2131,Complete,,,,,,,,,,,,
26,296,2256,Complete,,,,,,,,,,,,
12,122,2310,Complete,,,,,,,,,,,,
5,44,2978,Complete,,,,,,,,,,,,
22,165,3212,Complete,,,,,,,,,,,,
76,320,3215,Complete,,,,,,,,,,,,
47,432,3267,Complete,,,,,,,,,,,,
47,432,4358,Complete,,,,,,,,,,,,
60,474,4394,Complete,,,,,,,,,,,,
14,8,4407,Complete,,,,,,,,,,,,
4,37,5087,Complete,,,,,,,,,,,,
11,140,6469,Complete,,,,,,,,,,,,
22,284,5436,Complete,,,,,,,,,,,,
5,48,371,Complete,,,,,,,,,,,,
41,253,431,Complete,,,,,,,,,,,,
41,260,507,Complete,,,,,,,,,,,,
4,37,574,Complete,,,,,,,,,,,,
12,123,578,Complete,,,,,,,,,,,,
46,375,869,Complete,,,,,,,,,,,,
14,8,930,Complete,,,,,,,,,,,,
4,294,1242,Complete,,,,,,,,,,,,
47,433,1326,Complete,,,,,,,,,,,,
47,382,1485,Complete,,,,,,,,,,,,
11,140,1710,Complete,,,,,,,,,,,,
20,216,1782,Complete,,,,,,,,,,,,
47,411,1802,Change Return trip required to revisit trip required,,,,,,,,,,,,
46,370,2515,Complete,,,,,,,,,,,,
60,474,2539,Complete,,,,,,,,,,,,
42,326,2587,Complete,,,,,,,,,,,,
52,423,2642,Complete,,,,,,,,,,,,
46,375,2656,Complete,,,,,,,,,,,,
11,140,2755,Complete,,,,,,,,,,,,
20,216,2823,Complete,,,,,,,,,,,,
11,140,3060,Complete,,,,,,,,,,,,
57,405,3220,Complete,,,,,,,,,,,,
54,403,3232,Complete,,,,,,,,,,,,
46,385,3423,Complete,,,,,,,,,,,,
5,49,3432,Complete,,,,,,,,,,,,
60,467,3537,Complete,,,,,,,,,,,,
54,379,4288,Complete,,,,,,,,,,,,
53,438,5397,Complete,,,,,,,,,,,,
22,165,5476,Complete,,,,,,,,,,,,
14,15,5872,Complete,,,,,,,,,,,,
22,284,2555,Complete,,,,,,,,,,,,
12,120,1089,Complete,,,,,,,,,,,,
41,253,143,Complete,,,,,,,,,,,,
13,46,180,Complete,,,,,,,,,,,,
5,45,412,Complete,,,,,,,,,,,,
25,275,480,Complete,,,,,,,,,,,,
14,8,483,Complete,,,,,,,,,,,,
21,259,493,Complete,,,,,,,,,,,,
4,36,625,Complete,,,,,,,,,,,,
12,123,680,Complete,,,,,,,,,,,,
3,89,706,Complete,,,,,,,,,,,,
14,7,723,Complete,,,,,,,,,,,,
9,107,814,Complete,,,,,,,,,,,,
46,375,873,Complete,,,,,,,,,,,,
54,376,984,Complete,,,,,,,,,,,,
9,92,1068,Complete,,,,,,,,,,,,
54,403,1440,Complete,,,,,,,,,,,,
47,381,1461,Complete,,,,,,,,,,,,
12,119,1606,Complete,,,,,,,,,,,,
47,381,1778,Complete,,,,,,,,,,,,
76,283,2194,Complete,,,,,,,,,,,,
75,291,2438,Complete,,,,,,,,,,,,
53,439,2986,Complete,,,,,,,,,,,,
60,467,3218,Complete,,,,,,,,,,,,
12,124,3289,Complete,,,,,,,,,,,,
47,433,3395,Complete,,,,,,,,,,,,
17,175,3469,Complete,,,,,,,,,,,,
20,216,3581,Complete,,,,,,,,,,,,
54,380,4284,Complete,,,,,,,,,,,,
42,324,5244,Complete,,,,,,,,,,,,
46,368,5429,Complete,,,,,,,,,,,,
47,411,5441,Complete,,,,,,,,,,,,
22,284,1741,Complete,,,,,,,,,,,,
42,324,85,Complete,,,,,,,,,,,,
44,47,240,Complete,,,,,,,,,,,,
5,45,251,Complete,,,,,,,,,,,,
11,146,410,Complete,,,,,,,,,,,,
25,273,481,Complete,,,,,,,,,,,,
4,38,630,Complete,,,,,,,,,,,,
21,259,702,Complete,,,,,,,,,,,,
4,29,728,Complete,,,,,,,,,,,,
9,116,759,Complete,,,,,,,,,,,,
46,385,824,Complete,,,,,,,,,,,,
46,387,851,Complete,,,,,,,,,,,,
54,378,980,Complete,,,,,,,,,,,,
4,294,1036,Complete,,,,,,,,,,,,
47,411,1054,Complete,,,,,,,,,,,,
53,441,1138,Complete,,,,,,,,,,,,
46,384,1397,Complete,,,,,,,,,,,,
54,376,1492,Complete,,,,,,,,,,,,
75,288,1682,Complete,,,,,,,,,,,,
60,472,2037,Complete,,,,,,,,,,,,
60,471,2319,Complete,,,,,,,,,,,,
76,286,2437,Complete,,,,,,,,,,,,
60,471,2595,Complete,,,,,,,,,,,,
20,216,3262,Complete,,,,,,,,,,,,
52,422,3364,Complete,,,,,,,,,,,,
21,218,3486,Complete,,,,,,,,,,,,
54,403,3620,Complete,,,,,,,,,,,,
60,467,3705,Complete,,,,,,,,,,,,
54,401,3789,Complete,,,,,,,,,,,,
14,8,4318,Complete,,,,,,,,,,,,
46,370,5329,Complete,,,,,,,,,,,,
42,325,5433,Complete,,,,,,,,,,,,
17,176,5447,Complete,,,,,,,,,,,,
12,121,4166,Complete,,,,,,,,,,,,
47,411,26,Complete,,,,,,,,,,,,
42,325,261,Complete,,,,,,,,,,,,
25,273,550,Complete,,,,,,,,,,,,
41,253,655,Complete,,,,,,,,,,,,
12,121,687,Complete,,,,,,,,,,,,
26,298,1132,Change Return trip required to revisit trip required,,,,,,,,,,,,
4,41,1164,Complete,,,,,,,,,,,,
76,286,1406,Complete,,,,,,,,,,,,
75,288,1687,Complete,,,,,,,,,,,,
4,33,1748,Complete,,,,,,,,,,,,
44,47,2123,Complete,,,,,,,,,,,,
54,403,2207,Complete,,,,,,,,,,,,
54,380,2751,Complete,,,,,,,,,,,,
25,273,2934,Complete,,,,,,,,,,,,
54,401,3454,Complete,,,,,,,,,,,,
17,577,3795,Complete,,,,,,,,,,,,
20,317,4278,Complete,,,,,,,,,,,,
42,324,4460,Complete,,,,,,,,,,,,
54,378,5033,Complete,,,,,,,,,,,,
14,8,5348,Complete,,,,,,,,,,,,
47,432,5361,Complete,,,,,,,,,,,,
46,367,5626,Complete,,,,,,,,,,,,
42,328,119,Complete,,,,,,,,,,,,
25,275,334,Complete,,,,,,,,,,,,
4,38,627,Complete,,,,,,,,,,,,
14,8,938,Complete,,,,,,,,,,,,
41,242,1053,Complete,,,,,,,,,,,,
46,375,1380,Complete,,,,,,,,,,,,
47,381,1412,Complete,,,,,,,,,,,,
76,320,1522,Complete,,,,,,,,,,,,
26,298,1842,Complete,,,,,,,,,,,,
60,472,2196,Complete,,,,,,,,,,,,
14,14,2533,Complete,,,,,,,,,,,,
60,474,2865,Complete,,,,,,,,,,,,
17,577,3159,Complete,,,,,,,,,,,,
21,218,3251,Complete,,,,,,,,,,,,
54,401,3366,Complete,,,,,,,,,,,,
16,181,2224,Complete,,,,,,,,,,,,
42,322,2,Complete,,,,,,,,,,,,
41,253,430,Complete,,,,,,,,,,,,
41,260,571,Complete,,,,,,,,,,,,
14,8,700,Complete,,,,,,,,,,,,
4,35,1123,Complete,,,,,,,,,,,,
47,381,1617,Complete,,,,,,,,,,,,
75,287,1730,Complete,,,,,,,,,,,,
60,473,2016,Complete,,,,,,,,,,,,
21,221,2309,Complete,,,,,,,,,,,,
53,444,2452,Complete,,,,,,,,,,,,
60,471,2594,Complete,,,,,,,,,,,,
21,218,2605,Complete,,,,,,,,,,,,
54,378,2729,Complete,,,,,,,,,,,,
46,384,2924,Complete,,,,,,,,,,,,
17,577,3520,Complete,,,,,,,,,,,,
54,401,4208,Complete,,,,,,,,,,,,
47,381,4653,Complete,,,,,,,,,,,,
26,297,5254,Complete,,,,,,,,,,,,
16,181,2332,Complete,,,,,,,,,,,,
42,325,296,Change Return trip required to revisit trip required,,,,,,,,,,,,
41,260,584,Complete,,,,,,,,,,,,
21,259,693,Complete,,,,,,,,,,,,
21,259,1140,Complete,,,,,,,,,,,,
46,384,1414,Complete,,,,,,,,,,,,
47,381,1457,Complete,,,,,,,,,,,,
21,218,1564,Complete,,,,,,,,,,,,
26,296,1579,Complete,,,,,,,,,,,,
41,482,1655,Complete,,,,,,,,,,,,
60,473,1947,Complete,,,,,,,,,,,,
22,178,1977,Complete,,,,,,,,,,,,
12,122,2065,Complete,,,,,,,,,,,,
75,287,2295,Complete,,,,,,,,,,,,
41,242,2968,Complete,,,,,,,,,,,,
9,118,3387,Complete,,,,,,,,,,,,
3,95,3526,Complete,,,,,,,,,,,,
17,176,3598,Complete,,,,,,,,,,,,
12,120,3660,Complete,,,,,,,,,,,,
54,403,5235,Complete,,,,,,,,,,,,
42,321,16,Complete,,,,,,,,,,,,
12,123,678,Complete,,,,,,,,,,,,
3,95,1104,Complete,,,,,,,,,,,,
21,221,1289,Complete,,,,,,,,,,,,
54,380,1308,Complete,,,,,,,,,,,,
75,287,1525,Complete,,,,,,,,,,,,
47,433,1943,Complete,,,,,,,,,,,,
52,422,2643,Complete,,,,,,,,,,,,
12,122,2932,Complete,,,,,,,,,,,,
46,375,5003,Complete,,,,,,,,,,,,
54,379,5370,Complete,,,,,,,,,,,,
60,469,2071,Complete,,,,,,,,,,,,
57,470,5274,Change Return trip required to revisit trip required,,,,,,,,,,,,
76,283,3035,Complete,,,,,,,,,,,,
46,387,611,Complete,,,,,,,,,,,,
41,482,923,Complete,,,,,,,,,,,,
54,378,924,Complete,,,,,,,,,,,,
12,121,1194,Complete,,,,,,,,,,,,
54,403,1686,Complete,,,,,,,,,,,,
47,433,3278,Complete,,,,,,,,,,,,
53,441,3857,Complete,,,,,,,,,,,,
53,425,4257,Complete,,,,,,,,,,,,
60,469,2188,Complete,,,,,,,,,,,,
57,470,3478,Complete,,,,,,,,,,,,
54,376,1689,Complete,,,,,,,,,,,,
42,322,54,Complete,,,,,,,,,,,,
12,119,698,Complete,,,,,,,,,,,,
41,249,1141,Complete,,,,,,,,,,,,
52,421,1722,Complete,,,,,,,,,,,,
4,35,2265,Complete,,,,,,,,,,,,
12,119,3835,Complete,,,,,,,,,,,,
60,469,2070,Complete,,,,,,,,,,,,
57,470,2473,Complete,,,,,,,,,,,,
60,474,4395,Complete,,,,,,,,,,,,
47,430,1535,Complete,,,,,,,,,,,,
17,161,3301,Complete,,,,,,,,,,,,
16,184,1785,Complete,,,,,,,,,,,,
46,368,1549,Complete,,,,,,,,,,,,
4,39,1270,Complete,,,,,,,,,,,,
4,41,1339,Complete,,,,,,,,,,,,
4,35,4583,Complete,,,,,,,,,,,,
12,119,5263,Complete,,,,,,,,,,,,
9,110,2727,Complete,,,,,,,,,,,,
9,105,3417,Complete,,,,,,,,,,,,
9,92,5455,Complete,,,,,,,,,,,,
7,505,2201,Complete,,,,,,,,,,,,
5,583,8930,Complete,,,,,,,,,,,,
47,427,1581,Complete,,,,,,,,,,,,
47,430,4865,Complete,,,,,,,,,,,,
47,430,2990,Complete,,,,,,,,,,,,
56,399,2862,Complete,,,,,,,,,,,,
60,474,3472,Complete,,,,,,,,,,,,
47,430,3237,Complete,,,,,,,,,,,,
47,383,2259,Complete,,,,,,,,,,,,
17,161,2373,Complete,,,,,,,,,,,,
16,184,2142,Complete,,,,,,,,,,,,
46,369,1533,Complete,,,,,,,,,,,,
4,35,2687,Complete,,,,,,,,,,,,
4,39,4487,Complete,,,,,,,,,,,,
4,41,4506,Change Return trip required to revisit trip required,,,,,,,,,,,,
12,119,1469,Complete,,,,,,,,,,,,
12,119,5251,Complete,,,,,,,,,,,,
9,105,1119,Complete,,,,,,,,,,,,
9,92,1702,Change Return trip required to revisit trip required,,,,,,,,,,,,
9,110,5671,Complete,,,,,,,,,,,,
5,53,2427,Complete,,,,,,,,,,,,
7,505,2612,Complete,,,,,,,,,,,,
56,399,2781,Complete,,,,,,,,,,,,
17,161,1873,Complete,,,,,,,,,,,,
56,399,2861,Complete,,,,,,,,,,,,
47,430,2443,Complete,,,,,,,,,,,,
47,430,3853,Complete,,,,,,,,,,,,
17,161,2747,Complete,,,,,,,,,,,,
56,399,3739,Complete,,,,,,,,,,,,
47,383,3259,Complete,,,,,,,,,,,,
46,369,3465,Complete,,,,,,,,,,,,
4,39,514,Complete,,,,,,,,,,,,
4,41,1286,Complete,,,,,,,,,,,,
12,119,3659,Complete,,,,,,,,,,,,
9,92,3538,Complete,,,,,,,,,,,,
9,105,5055,Complete,,,,,,,,,,,,
9,110,6397,Complete,,,,,,,,,,,,
5,53,2105,Complete,,,,,,,,,,,,
7,505,3763,Complete,,,,,,,,,,,,
16,180,2634,Complete,,,,,,,,,,,,
4,42,1035,Complete,,,,,,,,,,,,
47,430,1520,Complete,,,,,,,,,,,,
56,400,2831,Complete,,,,,,,,,,,,
56,399,3093,Complete,,,,,,,,,,,,
17,161,2283,Complete,,,,,,,,,,,,
47,430,1500,Complete,,,,,,,,,,,,
47,430,3734,Complete,,,,,,,,,,,,
47,383,2147,Complete,,,,,,,,,,,,
46,369,5189,Complete,,,,,,,,,,,,
4,42,1281,Complete,,,,,,,,,,,,
4,41,4440,Complete,,,,,,,,,,,,
4,39,6887,Complete,,,,,,,,,,,,
12,119,477,Complete,,,,,,,,,,,,
9,92,174,Complete,,,,,,,,,,,,
9,110,1680,Complete,,,,,,,,,,,,
9,105,5391,Complete,,,,,,,,,,,,
7,505,5717,Complete,,,,,,,,,,,,
5,53,5889,Complete,,,,,,,,,,,,
56,399,5841,Complete,,,,,,,,,,,,
47,430,1538,Complete,,,,,,,,,,,,
56,400,1905,Change Return trip required to revisit trip required,,,,,,,,,,,,
47,430,1483,Complete,,,,,,,,,,,,
17,161,1964,Complete,,,,,,,,,,,,
46,368,3407,Complete,,,,,,,,,,,,
4,39,1382,Complete,,,,,,,,,,,,
4,42,2806,Complete,,,,,,,,,,,,
4,41,4521,Complete,,,,,,,,,,,,
12,119,4226,Complete,,,,,,,,,,,,
60,476,5461,Complete,,,,,,,,,,,,
9,92,649,Complete,,,,,,,,,,,,
9,105,1957,Complete,,,,,,,,,,,,
9,110,5854,Complete,,,,,,,,,,,,
5,583,5823,Complete,,,,,,,,,,,,
7,505,5947,Complete,,,,,,,,,,,,
16,157,1762,Complete,,,,,,,,,,,,
47,383,2084,Complete,,,,,,,,,,,,
47,382,4412,Complete,,,,,,,,,,,,
42,323,100,Complete,,,,,,,,,,,,
