Club,City,ST,GDC,DC NAME,DISTANCE TO CLUB,FDD,Comments,SU 11/24,M 11/25,Tu 11/26,W 11/27,Th 11/28,F   11/29,Su 11/30,FZ & DD ORDER FILL Days
8181,Alexander,LA,6057,Hammond,190,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8182,St. Louis,MO,6059,Olney,137,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8183,St. Cloud,MN,7079,Mankato,144,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8184,Gurnee,IL,7024,Sterling,223,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8185,Eau Claire,WI,7079,Mankato,173,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8186,Scarborough,ME,4020,Conklin,367,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8188,Lexington,KY,7012,Washington CH,173,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8189,Fairmont,WV,7012,Washington CH,199,2,Single Truck Delivery,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8190,Texas City,TX,6056,Terrell,282,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8191,Wilkes Barre,PA,4020,Conklin,75,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8192,Dothan,AL,8851,Cocoa,407,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8193,Hagerstown,MD,4020,Conklin,75,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8194,Bogart,GA,4047,Atlanta,78,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8196,Florence,AL,4047,Atlanta,233,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8197,Champaign,IL,6059,Olney,117,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8201,Sarasota,FL,8851,Cocoa,157,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8202,Savannah,GA,8851,Cocoa,300,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8203,Marietta,GA,4047,Atlanta,16,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8205,St. Louis,MO,6059,Olney,132,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8207,Kansas City,MO,6065,Harrisonville,48,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8208,Lenexa,KS,6065,Harrisonville,37,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8209,Fayetteville,AR,6065,Harrisonville,201,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8210,Fort Worth,TX,6056,Terrell,156,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8211,Douglasville,GA,4047,Atlanta,13,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8213,Columbus (N),GA,8851,Cocoa,424,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8215,Springfield,IL,7024,Sterling,154,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8218,Fayetteville,NC,6091,Henderson,109,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8219,Matthews,NC,6091,Henderson,196,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8220,Roanoke,VA,6091,Henderson,206,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8221,Harvey,LA,6057,Hammond,74,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8222,Kingsport,TN,6091,Henderson,308,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8223,Raleigh,NC,6091,Henderson,44,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8224,Wichita Falls,TX,6042,Pauls Valley,132,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8225,Macon,GA,4047,Cocoa,408,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8226,Abilene,TX,6056,Terrell,292,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8227,San Antonio,TX,6056,Terrell,302,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8228,Winston-Salem,NC,6091,Henderson,129,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8236,Gulfport,MS,6057,Hammond,95,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8237,Monroe,LA,6057,Hammond,244,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8238,Davenport,IA,7024,Sterling,308,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8239,Lawton,OK,6042,Pauls Valley,86,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8241,Midwest City,OK,6042,Pauls Valley,86,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8242,Dallas,TX,6056,Terrell,151,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8243,Grandview,MO,6065,Harrisonville,20,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8244,Houston,TX,6056,Terrell,322,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8245,Houston (N),TX,6056,Terrell,231,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8246,Meadows,TX,6056,Terrell,262,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8247,Homewood,AL,4047,Atlanta,138,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8248,Dallas (W),TX,6056,Terrell,140,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8250,McAllen,TX,6056,Terrell,534,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8251,St. Charles,MO,6059,Olney,142,1,10PM - 7AM,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8252,N. Charleston,SC,8851,Cocoa,396,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8253,Jacksonville,FL,8851,Cocoa,163,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8254,Wichita  ,KS,6065,Harrisonville,200,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8256,Knoxville,TN,4047,Atlanta,184,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8257,Madison,TN,6059,Olney,240,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8259,Austin (S),TX,6056,Terrell,230,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8261,Kenner,LA,6057,Hammond,56,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8262,San Antonio (N),TX,6056,Terrell,286,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8263,Tulsa,OK,6056,Terrell,228,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8264,San Antonio (S),TX,6056,Terrell,306,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8265,Lake Charles,LA,6057,Hammond,184,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8266,N. Little Rock,AR,6065,Harrisonville,353,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8267,Corpus Christi,TX,6056,Terrell,445,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8268,Richland Hills,TX,6056,Terrell,139,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8269,Grand Prairie,TX,6056,Terrell,154,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8270,Lubbock,TX,6042,Pauls Valley,350,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8271,Jackson ,MS,6057,Hammond,158,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8272,Colorado Springs,CO,7077,Cheyenne,183,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8273,Shreveport,LA,6056,Terrell,164,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8274,Houston (NW),TX,6056,Terrell,253,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8275,Beaumont,TX,6056,Terrell,240,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8276,Lousiville,KY,4154,Indy,111,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8277,White Settlement,TX,6056,Terrell,150,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8278,Greenville,SC,4047,Atlanta,157,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8279,Amarillo,TX,6042,Pauls Valley,313,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8280,El Paso,TX,6056,Terrell,653,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8281,Houston,TX,6056,Terrell,310,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8282,Dallas,TX,6056,Terrell,157,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8283,Columbia,SC,6091,Atlanta,234,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8284,Tyler,TX,6056,Terrell,72,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8285,O'Fallon,IL,6059,Olney,105,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8286,Waco,TX,6056,Terrell,118,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8287,Morrow,GA,8851,Cocoa,471,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8288,Midland,TX,6042,Pauls Valley,445,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8289,Oklahoma City,OK,6042,Pauls Valley,65,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8290,Orlando,FL,8851,Cocoa,41,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8291,Flint,MI,4154,Indy,302,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8292,Memphis,TN,6059,Olney,347,2,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8293,Kansas City (Independence),MO,6065,Harrisonville,42,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8294,Nashville,TN,6059,Olney,235,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8295,Texarkana,TX,6056,Terrell,252,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8296,Springfield (E),MO,6065,Harrisonville,134,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8297,Rockford,IL,7024,Sterling,273,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8298,Joliet,IL,7024,Sterling,197,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
8299,Plano,TX,6056,Terrell,148,1,,1,1,1,1,CLOSED,1,1,SU M TU W TH F SA
